Site;Página;Indicador;Tipo;Texto atual
ESI;EPI — Formulário;4.28;kicker;"Demonstração gratuita"
ESI;EPI — Formulário;4.29;heading;"Veja a IA funcionando no seu ambiente."
ESI;EPI — Formulário;4.30;body;"Preencha o formulário e nossa equipe de engenharia entrará em contato para agendar uma demonstração personalizada com imagens da sua operação."
ESI;EPI — Formulário;4.31;checkmark;"Diagnóstico técnico em até 1 dia útil"
ESI;EPI — Formulário;4.32;checkmark;"Demonstração com imagens do seu ambiente"
ESI;EPI — Formulário;4.33;checkmark;"Proposta sob medida para sua operação"
ESI;EPI — Formulário;4.34;form-titulo;"Solicite uma demonstração"
ESI;EPI — Formulário;4.35;form-sub;"Preencha os dados e retornaremos em até 1 dia útil."
ESI;EPI — Formulário;4.36;form-campos;"Nome completo, E-mail corporativo, Telefone/WhatsApp, Empresa, Setor de atuação, Quantidade aproximada de câmeras"
ESI;EPI — Formulário;4.37;form-opcoes-setor;"Indústria, Construção Civil, Mineração, Portos e Logística, Energia, Outro"
ESI;EPI — Formulário;4.38;form-opcoes-cameras;"1 a 10, 11 a 50, 51 a 200, Mais de 200"
ESI;EPI — Formulário;4.39;form-button;"Solicitar demonstração gratuita →"
ESI;EPI — Formulário;4.40;form-sucesso;"Cadastro recebido! Nossa equipe de engenharia entrará em contato em até 1 dia útil."
ESI;EPI — Formulário;4.41;form-erro;"Erro ao enviar. Tente novamente ou ligue: (41) 3527 7007"
ESI;Parceiros — Meta;5.1;meta-title;"Seja um Parceiro ESI Exata | Segurança Eletrônica para Redes Varejistas"
ESI;Parceiros — Meta;5.2;meta-description;"Cadastre-se como parceiro ESI Exata e faça parte da rede especializada em instalação de CFTV, alarmes e monitoramento para grandes redes varejistas."
ESI;Parceiros — Hero;5.3;badge;"Programa de Parceiros"
ESI;Parceiros — Hero;5.4;heading;"Seja um Parceiro ESI Exata"
ESI;Parceiros — Hero;5.5;sub;"Unimos especialistas em segurança eletrônica para atender grandes redes varejistas em todo o Brasil. Cadastre-se e faça parte da nossa rede de parceiros."
ESI;Parceiros — Hero;5.6;cta;"Quero me Cadastrar"
ESI;Parceiros — Hero;5.7;stat;"200+ Parceiros"
ESI;Parceiros — Hero;5.8;stat;"50+ Cidades"
ESI;Parceiros — Hero;5.9;stat;"15+ Estados"
ESI;Parceiros — Hero;5.10;stat;"98% Satisfação"
ESI;Parceiros — Atividades;5.11;kicker;"Nossas Atividades"
ESI;Parceiros — Atividades;5.12;heading;"Segurança Eletrônica de Alto Padrão"
ESI;Parceiros — Atividades;5.13;card;"CFTV — Instalação e manutenção de sistemas de câmeras de segurança de alta resolução."
ESI;Parceiros — Atividades;5.14;card;"Alarmes — Projetos e instalação de centrais de alarme perimetral e de detecção de intrusão."
ESI;Parceiros — Atividades;5.15;card;"Controle de Acesso — Soluções de controle de acesso físico com catracas, biometria e integração com sistemas de segurança."
ESI;Parceiros — Atividades;5.16;body;"A ESI Exata é especializada na instalação de sistemas de segurança eletrônica para grandes redes varejistas. Atuamos com contratos por atendimento, garantindo agilidade e qualidade em cada chamado — do diagnóstico à execução."
ESI;Parceiros — Formulário;5.17;heading;"Cadastre-se como Parceiro"
ESI;Parceiros — Formulário;5.18;sub;"Preencha o formulário abaixo. Nossa equipe comercial entrará em contato em até 2 dias úteis."
ESI;Parceiros — Formulário;5.19;form-campos;"Nome da empresa, CNPJ, Nome do responsável, E-mail corporativo, Telefone/WhatsApp, Área de atuação, Cidade/Estado, Site da empresa, Instagram da empresa, Descrição dos serviços, Como conheceu a ESI Exata?"
ESI;Parceiros — Formulário;5.20;form-opcoes-como;"Indicação de parceiro, Redes sociais, Google/internet, Evento ou feira, Outro"
ESI;Parceiros — Formulário;5.21;form-button;"Enviar Cadastro"
ESI;Parceiros — Formulário;5.22;form-sucesso;"Cadastro recebido! Obrigado pelo interesse em ser parceiro ESI Exata. Nossa equipe comercial analisará seu cadastro e entrará em contato em até 2 dias úteis."
ESI;Parceiros — Formulário;5.23;form-erro;"Ocorreu um erro ao enviar. Tente novamente ou entre em contato pelo WhatsApp."
ESI;Parceiros — Contato Rápido;5.24;heading;"Prefere falar direto com a gente?"
ESI;Parceiros — Contato Rápido;5.25;sub;"Estamos disponíveis pelo WhatsApp e Instagram. Escolha o canal de sua preferência."
ESI;Parceiros — FAQ;5.26;pergunta;"O que é necessário para se tornar parceiro ESI Exata?"
ESI;Parceiros — FAQ;5.27;resposta;"Para se tornar parceiro, sua empresa precisa atuar na área de instalação, manutenção ou serviços correlatos à segurança eletrônica. Basta preencher o formulário de cadastro nesta página com os dados da empresa e do responsável. Nossa equipe avaliará o perfil e entrará em contato para os próximos passos."
ESI;Parceiros — FAQ;5.28;pergunta;"Quais os benefícios da parceria com a ESI Exata?"
ESI;Parceiros — FAQ;5.29;resposta;"Parceiros ESI Exata têm acesso a oportunidades de atendimento em grandes redes varejistas, com contratos estruturados por chamados. A parceria oferece previsibilidade de demanda, suporte técnico da ESI Exata e integração a uma rede de empresas especializadas no setor."
ESI;Parceiros — FAQ;5.30;pergunta;"Como funciona o processo após o cadastro?"
ESI;Parceiros — FAQ;5.31;resposta;"Após o envio do formulário, nossa equipe comercial analisa o cadastro em até 2 dias úteis. Se houver compatibilidade de perfil, entraremos em contato por e-mail ou WhatsApp para apresentar as condições de parceria e dar início ao processo de credenciamento."
ESI;Parceiros — CTA;5.32;heading;"Pronto para crescer com a ESI Exata?"
ESI;Parceiros — CTA;5.33;sub;"Cadastre sua empresa e faça parte da nossa rede de parceiros."
ESI;Parceiros — CTA;5.34;button;"Quero me Cadastrar"
ESI;Vaga Orçamentista;6.1;meta-title;"Vaga: Orçamentista Júnior (CFTV/CA) — ESI Exata Curitiba"
ESI;Vaga Orçamentista;6.2;label;"Vagas abertas"
ESI;Vaga Orçamentista;6.3;heading;"Estamos contratando: Orçamentista Júnior"
ESI;Vaga Orçamentista;6.4;sub;"Junte-se ao time da ESI Exata e atue com sistemas de CFTV e Controle de Acesso em projetos de todo o Brasil."
ESI;Vaga Orçamentista;6.5;badges;"Curitiba/PR, CLT, Presencial, Júnior"
ESI;Vaga Orçamentista;6.6;cta;"Quero me candidatar"
ESI;Vaga Orçamentista;6.7;secao-titulo;"Quem somos"
ESI;Vaga Orçamentista;6.8;secao-body;"A ESI Exata é uma empresa de tecnologia em segurança eletrônica com sede em Curitiba e atuação nacional. Projetamos, instalamos e mantemos soluções de CFTV, controle de acesso, perímetro e alarmes para clientes corporativos, industriais e do agronegócio. Desenvolvemos tecnologia própria — a suíte Integra-Hub — e trabalhamos com parcerias estratégicas com fabricantes reconhecidos do mercado."
ESI;Vaga Orçamentista;6.9;card;"CFTV — Câmeras, gravadores e analíticos de vídeo para monitoramento inteligente."
ESI;Vaga Orçamentista;6.10;card;"Controle de Acesso — Controladoras, leitoras, catracas e fechaduras para segurança física."
ESI;Vaga Orçamentista;6.11;card;"Perímetro e Alarmes — Sensores, cercas virtuais e sistemas de alarme para proteção perimetral."
ESI;Vaga Orçamentista;6.12;secao-titulo;"Suas responsabilidades"
ESI;Vaga Orçamentista;6.13;lista;"Analisar projetos, plantas e memoriais descritivos."
ESI;Vaga Orçamentista;6.14;lista;"Elaborar listas de materiais (BOM) para CFTV e controle de acesso."
ESI;Vaga Orçamentista;6.15;lista;"Sugerir valor de mão de obra para composição do orçamento."
ESI;Vaga Orçamentista;6.16;lista;"Lançar vendas no ERP."
ESI;Vaga Orçamentista;6.17;lista;"Apoiar o time comercial em revisões de proposta."
ESI;Vaga Orçamentista;6.18;lista;"Trabalhar em conjunto com Compras/Logística no fluxo de cotação."
ESI;Vaga Orçamentista;6.19;secao-titulo;"Requisitos"
ESI;Vaga Orçamentista;6.20;lista;"Ensino médio completo."
ESI;Vaga Orçamentista;6.21;lista;"Conhecimento básico em CFTV (câmeras IP/analógicas, gravadores, switches PoE)."
ESI;Vaga Orçamentista;6.22;lista;"Conhecimento básico em controle de acesso (controladoras, leitoras, fechaduras, catracas)."
ESI;Vaga Orçamentista;6.23;lista;"Leitura e interpretação de projetos e datasheets."
ESI;Vaga Orçamentista;6.24;lista;"Organização e atenção a detalhes numéricos."
ESI;Vaga Orçamentista;6.25;lista;"Boa comunicação escrita."
ESI;Vaga Orçamentista;6.26;secao-titulo;"Vai te colocar à frente (não eliminatório)"
ESI;Vaga Orçamentista;6.27;lista;"Curso técnico em Eletrônica, Eletrotécnica, Automação, Redes ou Telecom."
ESI;Vaga Orçamentista;6.28;lista;"Experiência prévia em orçamentação, compras ou cotação no setor."
ESI;Vaga Orçamentista;6.29;lista;"Leitura de plantas em AutoCAD."
ESI;Vaga Orçamentista;6.30;lista;"Conhecimento dos principais fabricantes do mercado de segurança eletrônica."
ESI;Vaga Orçamentista;6.31;secao-titulo;"Nosso pacote"
ESI;Vaga Orçamentista;6.32;card;"Salário compatível — Remuneração alinhada com o mercado."
ESI;Vaga Orçamentista;6.33;card;"Vale-transporte — Cobertura integral do deslocamento."
ESI;Vaga Orçamentista;6.34;card;"Vale-refeição — Vale-refeição / alimentação."
ESI;Vaga Orçamentista;6.35;card;"Plano de carreira — Empresa em expansão nacional."
ESI;Vaga Orçamentista;6.36;card;"Treinamento técnico — Capacitação interna contínua."
ESI;Vaga Orçamentista;6.37;card;"Ambiente colaborativo — Proximidade com a diretoria."
ESI;Vaga Orçamentista;6.38;form-titulo;"Candidate-se agora"
ESI;Vaga Orçamentista;6.39;form-sub;"Preencha os dados abaixo e anexe seu currículo. Retornaremos em breve."
ESI;Vaga Orçamentista;6.40;form-campos;"Nome completo, E-mail, Telefone/WhatsApp, Cidade/Estado, LinkedIn, Curso técnico na área?, Experiência com orçamentação?, Pretensão salarial, Currículo (PDF/DOC/DOCX), Mensagem"
ESI;Vaga Orçamentista;6.41;lgpd;"Autorizo o tratamento dos meus dados pessoais para fins de processo seletivo, conforme a Lei n° 13.709/2018 (LGPD)."
ESI;Vaga Orçamentista;6.42;form-button;"Enviar candidatura"
ESI;Vaga Orçamentista;6.43;form-sucesso;"Recebemos sua candidatura! Em caso de match com a vaga, nosso time entrará em contato pelo e-mail informado."
ESI;Promo VHD3120;7.1;meta-title;"VHD 3120 Intelbras — R$300 | ESI Exata"
ESI;Promo VHD3120;7.2;kicker;"Oferta especial"
ESI;Promo VHD3120;7.3;heading;"VHD 3120 Intelbras"
ESI;Promo VHD3120;7.4;body;"Camera Multi HD 720p com infravermelho 20m. Protecao IP67 para ambientes internos e externos. Qualidade Intelbras com suporte ESI Exata."
ESI;Promo VHD3120;7.5;preco;"R$300 /unidade"
ESI;Promo VHD3120;7.6;cta-primary;"Comprar pelo WhatsApp"
ESI;Promo VHD3120;7.7;cta-secondary;"Ver detalhes"
ESI;Promo VHD3120;7.8;spec;"Resolucao: HD 720p"
ESI;Promo VHD3120;7.9;spec;"Infravermelho: 20 metros"
ESI;Promo VHD3120;7.10;spec;"Tecnologia: Multi HD 4 em 1"
ESI;Promo VHD3120;7.11;spec;"Protecao: IP67"
ESI;Promo VHD3120;7.12;spec;"Garantia: 1 ano Intelbras"
ESI;Promo VHD3120;7.13;spec;"Instalacao: Inclusa*"
ESI;Promo VHD3120;7.14;kicker;"Por que escolher a VHD 3120"
ESI;Promo VHD3120;7.15;heading;"Seguranca acessivel e confiavel"
ESI;Promo VHD3120;7.16;card;"Ideal para residencias — Proteja sua casa, sitio ou chacara com imagem nitida dia e noite."
ESI;Promo VHD3120;7.17;card;"Visao noturna 20m — Infravermelho inteligente que garante imagens claras mesmo no escuro total."
ESI;Promo VHD3120;7.18;card;"Resistente a chuva — Protecao IP67 — funciona perfeitamente em ambientes externos."
ESI;Promo VHD3120;7.19;card;"Facil instalacao — Compativel com DVRs Intelbras e outras marcas. Multi HD 4 em 1."
ESI;Promo VHD3120;7.20;kicker;"Aplicacao"
ESI;Promo VHD3120;7.21;heading;"Perfeita para casas, sitios e comercios"
ESI;Promo VHD3120;7.22;body;"A VHD 3120 e a escolha certa para quem precisa de seguranca com custo acessivel. Imagem HD de dia, visao noturna de noite, e resistencia a intemperies para instalacao externa. Ideal para monitorar entradas, garagens, perimetros e areas comuns."
ESI;Promo VHD3120;7.23;card;"Residencias — Monitore portoes, garagens e areas externas 24h com imagem HD."
ESI;Promo VHD3120;7.24;card;"Sitios e chacaras — Visao noturna de 20m para proteger propriedades rurais mesmo sem iluminacao."
ESI;Promo VHD3120;7.25;card;"Comercios — Registre movimentacao em lojas, depositos e estacionamentos."
ESI;Promo VHD3120;7.26;cta-heading;"Garanta a sua por R$300"
ESI;Promo VHD3120;7.27;cta-sub;"Oferta por tempo limitado. Fale com a ESI Exata pelo WhatsApp e feche seu pedido agora."
ESI;Promo VHD3120;7.28;cta-button;"Falar no WhatsApp"
ESI;Promo VHD3120;7.29;nota;"*Instalacao inclusa para Curitiba e regiao metropolitana. Consulte condicoes para outras localidades."
ESI;Integra-Frio;8.1;meta-title;"Integra — Folha de Produto | ESI Exata"
ESI;Integra-Frio;8.2;meta-description;"Monitor de geladeira de vacina Integra. Lê cinco sinais e responde com cinco tipos de aviso. Vigilância contínua 24/7 para manter vacinas na faixa segura."
ESI;Integra-Frio;8.3;header-produto;"Integra — Monitor de geladeira de vacina"
ESI;Integra-Frio;8.4;header-versao;"Folha de produto · v01 — 2026"
ESI;Integra-Frio;8.5;hero-label;"Especificacao de funcionamento"
ESI;Integra-Frio;8.6;hero-heading;"Como o equipamento funciona"
ESI;Integra-Frio;8.7;hero-body;"O Integra le cinco sinais diretamente da geladeira e do ambiente, e responde com cinco tipos de aviso. Esta folha descreve o que ele mede, o que ele faz, e exatamente quando cada aviso e disparado."
ESI;Integra-Frio;8.8;hero-badge;"Protege a vacina — Faixa segura vigiada 24/7"
ESI;Integra-Frio;8.9;hero-badge;"Avisa na hora — Alerta no segundo do problema"
ESI;Integra-Frio;8.10;hero-badge;"Registra tudo — Historico, graficos e fotos"
ESI;Integra-Frio;8.11;hero-stat;"5 Sensores de entrada"
ESI;Integra-Frio;8.12;hero-stat;"5 Avisos de saida"
ESI;Integra-Frio;8.13;hero-stat;"7 Situacoes monitoradas"
ESI;Integra-Frio;8.14;hero-stat;"24/7 Vigilancia continua"
ESI;Integra-Frio;8.15;secao-label;"Entradas — o que o equipamento mede"
ESI;Integra-Frio;8.16;secao-sub;"Cinco sensores, cada um respondendo uma pergunta diferente sobre a geladeira."
ESI;Integra-Frio;8.17;sensor-titulo;"A1 — Sensor de temperatura"
ESI;Integra-Frio;8.18;sensor-onde;"Dentro da geladeira, fixado no compartimento das vacinas."
ESI;Integra-Frio;8.19;sensor-oque;"A temperatura em graus Celsius, a cada poucos segundos."
ESI;Integra-Frio;8.20;sensor-porque;"Saber se a vacina esta na faixa segura e detectar variacoes bruscas."
ESI;Integra-Frio;8.21;sensor-titulo;"A2 — Sensor da porta"
ESI;Integra-Frio;8.22;sensor-onde;"Na porta — duas pecas pequenas, uma na porta e outra no batente."
ESI;Integra-Frio;8.23;sensor-oque;"Se a porta esta aberta ou fechada, em tempo real."
ESI;Integra-Frio;8.24;sensor-porque;"Contar e cronometrar cada abertura, e disparar a foto."
ESI;Integra-Frio;8.25;sensor-titulo;"A3 — Sensor de energia da rede"
ESI;Integra-Frio;8.26;sensor-onde;"Pequena fonte plugada no mesmo circuito da geladeira."
ESI;Integra-Frio;8.27;sensor-oque;"Se esta chegando energia da rede eletrica ou nao."
ESI;Integra-Frio;8.28;sensor-porque;"Avisar no segundo em que cai a luz no estabelecimento."
ESI;Integra-Frio;8.29;sensor-titulo;"A4 — Sensor da corrente do motor"
ESI;Integra-Frio;8.30;sensor-onde;"Pinca ao redor do cabo de forca (nao corta nem desliga nada)."
ESI;Integra-Frio;8.31;sensor-oque;"Se o motor da geladeira esta consumindo energia neste momento."
ESI;Integra-Frio;8.32;sensor-porque;"Detectar se o compressor parou — antes da temperatura subir."
ESI;Integra-Frio;8.33;sensor-titulo;"A5 — Camera"
ESI;Integra-Frio;8.34;sensor-onde;"Instalada na sala, apontada para a porta da geladeira."
ESI;Integra-Frio;8.35;sensor-oque;"Tira uma foto sob comando do equipamento. Nao grava video continuo."
ESI;Integra-Frio;8.36;sensor-porque;"Registrar o que acontecia na hora exata em que a porta foi aberta."
ESI;Integra-Frio;8.37;secao-label;"Ligacao — dos sensores aos avisos"
ESI;Integra-Frio;8.38;secao-sub;"Cada sensor esta ligado aos avisos que ele pode acionar. Passe o cursor por um sensor — ou por um aviso — para acender o caminho entre eles."
ESI;Integra-Frio;8.39;secao-label;"Saidas — o que o equipamento produz"
ESI;Integra-Frio;8.40;secao-sub;"Cinco formas distintas de aviso, cada uma para um momento e um proposito."
ESI;Integra-Frio;8.41;saida-titulo;"B1 — WhatsApp imediato"
ESI;Integra-Frio;8.42;saida-descricao;"No segundo em que um problema e detectado. Texto curto: o que aconteceu, em qual geladeira, a que horas."
ESI;Integra-Frio;8.43;saida-titulo;"B2 — WhatsApp de resumo"
ESI;Integra-Frio;8.44;saida-descricao;"Duas vezes ao dia, em horario fixo. Tudo o que aconteceu no periodo em uma unica mensagem."
ESI;Integra-Frio;8.45;saida-titulo;"B3 — Beep no local"
ESI;Integra-Frio;8.46;saida-descricao;"Em situacoes criticas — temperatura critica, motor parado. Dispara mesmo sem internet."
ESI;Integra-Frio;8.47;saida-titulo;"B4 — Foto registrada"
ESI;Integra-Frio;8.48;saida-descricao;"Cada vez que a porta da geladeira e aberta. Guardada com data e hora."
ESI;Integra-Frio;8.49;saida-titulo;"B5 — Dashboard central de monitoramento"
ESI;Integra-Frio;8.50;saida-descricao;"Continuamente, em tempo real. Estado de todas as geladeiras, graficos, historico, fotos."
ESI;Integra-Frio;8.51;secao-label;"Mapeamento — o que dispara o que"
ESI;Integra-Frio;8.52;secao-sub;"Cada situacao detectada aciona um conjunto especifico de saidas. Esta tabela mostra todas as combinacoes em uma so vista."
ESI;Integra-Frio;8.53;evento;"E1 — Temperatura passou do limite"
ESI;Integra-Frio;8.54;evento;"E2 — Mudanca brusca na temperatura"
ESI;Integra-Frio;8.55;evento;"E3 — Porta foi aberta"
ESI;Integra-Frio;8.56;evento;"E4 — Porta passou do tempo limite aberta"
ESI;Integra-Frio;8.57;evento;"E5 — Faltou energia"
ESI;Integra-Frio;8.58;evento;"E6 — O motor da geladeira parou"
ESI;Integra-Frio;8.59;evento;"E7 — O equipamento ficou sem conexao"
AGRO;Agro — Meta;9.1;meta-title;"ESI Agro — Tecnologia para o agronegócio | Grupo ESI"
AGRO;Agro — Meta;9.2;meta-description;"Filial em Sinop/MT. Totens autônomos, unidades móveis de monitoramento e IA treinada para fazendas. Atendimento MT GO MS BA TO."
AGRO;Agro — Topbar;9.3;label;"GRUPO ESI · FILIAL AGRO · SINOP MT · ATENDIMENTO MT GO MS BA TO"
AGRO;Agro — Topbar;9.4;pill;"esi|exata"
AGRO;Agro — Topbar;9.5;pill;"esi|agro"
AGRO;Agro — Topbar;9.6;pill;"esi|p&d"
AGRO;Agro — Topbar;9.7;pill;"esi|store"
AGRO;Agro — Nav;9.8;nav-link;"Soluções"
AGRO;Agro — Nav;9.9;nav-link;"Totem"
AGRO;Agro — Nav;9.10;nav-link;"Unidade Móvel"
AGRO;Agro — Nav;9.11;nav-link;"IA Agro"
AGRO;Agro — Nav;9.12;nav-link;"Cases"
AGRO;Agro — Nav;9.13;nav-link;"Contato"
AGRO;Agro — Nav;9.14;cta;"Falar com engenheiro Sinop →"
AGRO;Agro — Hero;9.15;badge;"esi · agronegócio"
AGRO;Agro — Hero;9.16;heading;"A tecnologia da ESI chega no campo — de Sinop pro Brasil agro."
AGRO;Agro — Hero;9.17;sub;"Filial dedicada ao agronegócio, instalada em Sinop/MT, com engenheiros que falam a língua do produtor. Totens autônomos, unidades móveis de monitoramento e IA treinada para o cenário rural — fazenda, silo, balança, portaria."
AGRO;Agro — Hero;9.18;cta-primary;"Agendar visita à fazenda →"
AGRO;Agro — Hero;9.19;cta-secondary;"Ver soluções"
AGRO;Agro — Hero;9.20;stat;"~140k ha sob monitoramento — clientes ativos em MT"
AGRO;Agro — Hero;9.21;stat;"60 km alcance câmeras — com link de dados"
AGRO;Agro — Hero;9.22;stat;"24/7 operação remota — no NOC de Curitiba"
AGRO;Agro — Hero;9.23;stat;"Sinop base operacional — no coração do agro"
AGRO;Agro — Manifesto;9.24;kicker;"POR QUE UMA FILIAL · SÓ PRO AGRO"
AGRO;Agro — Manifesto;9.25;heading;"Fazenda não é prédio com câmera. É terra, vento, poeira, rede instável e gente prática."
AGRO;Agro — Manifesto;9.26;body;"ESI Agro nasceu pra entender isso — em Sinop, no chão do produtor. Não é um escritório que vende solução de prateleira. É engenheiro de bota no barro que sabe a diferença entre porteira de gado e portaria de condomínio. A gente instala, configura e mantém onde a internet cai, onde a poeira entope, onde o sol derrete."
AGRO;Agro — Soluções;9.27;kicker;"TRÊS SOLUÇÕES · FEITAS PRA FAZENDA"
AGRO;Agro — Soluções;9.28;heading;"Você escolhe pelo problema. A gente entrega rodando."
AGRO;Agro — Soluções;9.29;card-kicker;"VIGILÂNCIA AUTÔNOMA, SEM OBRA CIVIL"
AGRO;Agro — Soluções;9.30;card-titulo;"Totem ESI Agro"
AGRO;Agro — Soluções;9.31;card-descricao;"Torre solar de 4,5m com câmeras IA, alto-falante, gravação local e 4G/satélite. Você posiciona em qualquer lugar da fazenda em 1 dia — porteira, balança, silo, currais."
AGRO;Agro — Soluções;9.32;card-feature;"Câmeras PTZ + bullet IA, visão 360°"
AGRO;Agro — Soluções;9.33;card-feature;"Painel solar 400W + bateria 48h"
AGRO;Agro — Soluções;9.34;card-feature;"Gravação local + sync com NOC"
AGRO;Agro — Soluções;9.35;card-feature;"Áudio bidirecional pra abordagem remota"
AGRO;Agro — Soluções;9.36;card-metric;"→ Instala em 1 dia · move quando precisar"
AGRO;Agro — Soluções;9.37;card-kicker;"NOC SOBRE RODAS — CHEGA NA FAZENDA"
AGRO;Agro — Soluções;9.38;card-titulo;"Unidade Móvel de Monitoramento"
AGRO;Agro — Soluções;9.39;card-descricao;"Veículo equipado com torre telescópica, banco de câmeras, mesa de operação e link satelital. Cobre eventos de safra, embarque de gado, plantio noturno, abertura de pasto."
AGRO;Agro — Soluções;9.40;card-feature;"Torre 8m com câmeras térmicas e PTZ"
AGRO;Agro — Soluções;9.41;card-feature;"Operador embarcado + link Starlink"
AGRO;Agro — Soluções;9.42;card-feature;"Conecta ao NOC de Curitiba ao vivo"
AGRO;Agro — Soluções;9.43;card-feature;"Bivolt + grupo gerador silencioso"
AGRO;Agro — Soluções;9.44;card-metric;"→ Mobilizável em 24h pra qualquer fazenda do Brasil"
AGRO;Agro — Soluções;9.45;card-kicker;"VISÃO COMPUTACIONAL TREINADA PRO CENÁRIO RURAL"
AGRO;Agro — Soluções;9.46;card-titulo;"IA Agro + Integra"
AGRO;Agro — Soluções;9.47;card-descricao;"Detectores específicos: gado fora de cerca, invasão de pasto, leitura de placa de caminhão na portaria, contagem de carga em balança, perímetro de silo. Tudo dentro do Integra — uma tela só."
AGRO;Agro — Soluções;9.48;card-feature;"Reconhecimento de gado (cabeça/quartel)"
AGRO;Agro — Soluções;9.49;card-feature;"OCR de placa em poeira e contraluz"
AGRO;Agro — Soluções;9.50;card-feature;"Cerca virtual com alerta no celular do gerente"
AGRO;Agro — Soluções;9.51;card-feature;"Integração com balança, ERP rural e WhatsApp"
AGRO;Agro — Soluções;9.52;card-metric;"→ Modelos treinados com vídeo real de fazenda no MT"
AGRO;Agro — Cases;9.53;kicker;"ONDE ESTAMOS · CASES REAIS"
AGRO;Agro — Cases;9.54;heading;"Já estamos em centenas de milhares de hectares."
AGRO;Agro — Cases;9.55;case-local;"SORRISO · MT | Soja & milho"
AGRO;Agro — Cases;9.56;case-titulo;"Monitoramento térmico em 42 mil hectares"
AGRO;Agro — Cases;9.57;case-descricao;"Câmeras térmicas e IA embarcada · cobertura total · safras 22/23, 23/24, 24/25."
AGRO;Agro — Cases;9.58;case-kpi;"42k ha cobertos, 24/7 monitoramento, 60km alcance"
AGRO;Agro — Cases;9.59;case-local;"SINOP · MT | Pecuária + grãos"
AGRO;Agro — Cases;9.60;case-titulo;"6 totens autônomos em fazenda mista"
AGRO;Agro — Cases;9.61;case-descricao;"Monitoramento de balança, currais e portaria 24h sem operador local."
AGRO;Agro — Cases;9.62;case-kpi;"6 totens, 1 dia instalação cada, 0 furtos pós-instalação"
AGRO;Agro — Cases;9.63;case-local;"LUCAS DO RIO VERDE · MT | Algodão"
AGRO;Agro — Cases;9.64;case-titulo;"IA conta caminhões e lê placas na balança"
AGRO;Agro — Cases;9.65;case-descricao;"Integração com ERP da usina · auditoria automática de pesagem."
AGRO;Agro — Cases;9.66;case-kpi;"+98% acertos OCR, ~3s por veículo, 24/7 operação"
AGRO;Agro — CTA/Contato;9.67;kicker;"ESI AGRO · SINOP · MT"
AGRO;Agro — CTA/Contato;9.68;heading;"Da porteira ao silo, a ESI fica no campo."
AGRO;Agro — CTA/Contato;9.69;body;"Marque uma visita técnica. Nossos engenheiros vão até a sua fazenda — sem custo, sem compromisso."
AGRO;Agro — CTA/Contato;9.70;escritorio-kicker;"FILIAL AGRO"
AGRO;Agro — CTA/Contato;9.71;escritorio-cidade;"Sinop · MT"
AGRO;Agro — CTA/Contato;9.72;escritorio-endereco;"Av. das Itaúbas · Centro"
AGRO;Agro — CTA/Contato;9.73;escritorio-cobertura;"Atendimento: MT · GO · MS · BA · TO"
AGRO;Agro — CTA/Contato;9.74;escritorio-telefone;"(66) 0000-0000"
AGRO;Agro — CTA/Contato;9.75;cta-button;"Agendar visita técnica →"
AGRO;Agro — Footer;9.76;copyright;"© Grupo ESI · Filial Agro Sinop MT"
